degree,maxTaylorAbsoluteError,maxChebyshevAbsoluteError
5,0.524043913417169,0.0131927653753734
9,0.00692527070750493,1.1512071444782e-05
13,2.11425675581922e-05,2.27028241886162e-09
17,2.24195105095478e-08,1.56184312255343e-13
